Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
High elevation,1,D,11,D11,BRU-15,BRU,Vercors,930,South,R,1876.8,26,3015.929,330,1511.125,45,1103.4,2263.53,35.5
High elevation,4,D,13,D13,CHA-9,CHA,Vercors,1480,North,I,3010,26,1845.686,6332.35,6672.5,45,4671.18,4259.09,35.5
High elevation,4,E,8,E8,CHA-5,CHA,Vercors,1480,North,R,640,31,1492.257,2304,6868.75,40,1472,4180.5,35.5
High elevation,4,B,11,B11,BRU-14,BRU,Vercors,930,South,I,558.6,36,1033.584,,,,558.6,1033.58,36
High elevation,4,C,18,C18,BRU-9,BRU,Vercors,930,South,NR,1496,36,1256.637,,,,1496,1256.64,36
High elevation,5,D,15,D15,LAU-10,LAU,Lautaret,2090,North,R,2314.2,42,2818.009,1171.6,3061.5,30,1742.9,2939.75,36
High elevation,2,E,9,E9,F005-32,F005,Vercors,1842,NA,I,896,38,1162.389,5400,2747.5,35,3148,1954.95,36.5
High elevation,4,D,14,D14,BRU-19,BRU,Vercors,930,South,I,847.6,33,1072.068,1903.2,2119.5,40,1375.4,1595.78,36.5
High elevation,4,C,17,C17,bordure,bordure,NA,NA,NA,R,340,37,263.894,,,,340,263.89,37
High elevation,5,C,16,C16,BRU-15,BRU,Vercors,930,South,NR,2890,37,2318.495,,,,2890,2318.5,37
High elevation,1,C,4,C4,F005-14,F005,Vercors,1842,NA,I,5018,35,2756.748,14268,4121.25,40,9643,3439,37.5
High elevation,3,D,20,D20,BRU-16,BRU,Vercors,930,South,I,2607.6,40,559.989,2203.2,3669.875,35,2405.4,2114.93,37.5
High elevation,4,C,9,C9,F107-4,F107,Vercors,1704,NA,R,1499.4,30,1790.708,9190.2,7418.25,45,5344.8,4604.48,37.5
High elevation,4,A,15,A15,F029-30,F029,Lautaret,1894,NA,I,1856,38,1394.867,,,,1856,1394.87,38
High elevation,4,A,8,A8,CHA-17,CHA,Vercors,1480,North,NR,2745.6,21,2827.433,7760.2,13816,55,5252.9,8321.72,38
High elevation,4,B,18,B18,VIL-19,VIL,Vercors,1980,South,NA,,38,647.953,,,,#DIV/0!,647.95,38
High elevation,4,B,17,B17,CHA-12,CHA,Vercors,1480,North,NR,1117.2,38,714.712,,,,1117.2,714.71,38
High elevation,4,E,12,E12,GAL-18,GAL,Lautaret,2590,North,TR,1315.2,38,2045.177,,,,1315.2,2045.18,38
High elevation,1,D,9,D9,BRU-18,BRU,Vercors,930,South,I,4212,32,2026.327,700.7,2551.25,45,2456.35,2288.79,38.5
High elevation,1,C,3,C3,GAL-6,GAL,Lautaret,2590,North,TR,1336.2,39,3455.752,,,,1336.2,3455.75,39
High elevation,1,E,10,E10,GAL-2,GAL,Lautaret,2590,North,I,1320.8,39,1256.637,,,,1320.8,1256.64,39
High elevation,4,B,20,B20,F005-35,F005,Vercors,1842,NA,NR,1934.4,73,725.708,1926.4,1256,5,1930.4,990.85,39
High elevation,2,A,7,A7,F107-5,F107,Vercors,1704,NA,R,1507.2,25,1184.38,7742,5220.25,55,4624.6,3202.32,40
Low elevation,1,A,17,A17,CHA-6,CHA,Vercors,1480,North,NR,34370,40,17357.299,,,,34370,17357.3,40
Low elevation,1,B,19,B19,BRU-20,BRU,Vercors,930,South,I,15614.333,40,9189.159,,,,15614.33,9189.16,40
Low elevation,1,B,12,B12,F005-38,F005,Vercors,1842,NA,NR,22945.8,40,7147.123,,,,22945.8,7147.12,40
Low elevation,1,C,16,C16,GAL-6,GAL,Lautaret,2590,North,TR,10518.667,40,12252.211,,,,10518.67,12252.21,40
Low elevation,1,C,8,C8,VIL-7,VIL,Vercors,1980,South,I,21423,40,16493.361,,,,21423,16493.36,40
Low elevation,1,E,12,E12,FGAL-130,FGAL,Lautaret,2600,North,TR,10403.867,40,11231.194,,,,10403.87,11231.19,40
Low elevation,2,A,1,A1,F005-14,F005,Vercors,1842,NA,NR,18696.533,40,5026.548,,,,18696.53,5026.55,40
Low elevation,2,B,15,B15,F005-32,F005,Vercors,1842,NA,NR,13014.4,40,4673.119,,,,13014.4,4673.12,40
Low elevation,2,B,8,B8,GAL-2,GAL,Lautaret,2590,North,TR,17204.2,40,6283.185,,,,17204.2,6283.19,40
Low elevation,2,C,2,C2,F005-18,F005,Vercors,1842,NA,NR,18154,40,7775.442,,,,18154,7775.44,40
Low elevation,2,D,19,D19,BRU-14,BRU,Vercors,930,South,I,14653.6,40,8482.3,,,,14653.6,8482.3,40
Low elevation,2,D,17,D17,FGAL-Q,FGAL,Lautaret,2600,North,TR,2704.8,40,5301.438,,,,2704.8,5301.44,40
Low elevation,2,D,8,D8,F005-31,F005,Vercors,1842,NA,I,24117.333,40,6774.059,,,,24117.33,6774.06,40
Low elevation,2,D,3,D3,F005-32,F005,Vercors,1842,NA,NR,14025.332,40,4398.23,,,,14025.33,4398.23,40
Low elevation,2,E,14,E14,F005-19,F005,Vercors,1842,NA,I,21160,40,16493.361,,,,21160,16493.36,40
Low elevation,2,E,6,E6,GAL-18,GAL,Lautaret,2590,North,TR,4995.467,40,5595.962,,,,4995.47,5595.96,40
Low elevation,3,A,18,A18,GAL-13,GAL,Lautaret,2590,North,TR,7852,40,8482.3,,,,7852,8482.3,40
Low elevation,3,B,12,B12,F005-35,F005,Vercors,1842,NA,NR,5480,40,5026.548,,,,5480,5026.55,40
Low elevation,3,B,11,B11,CHA-19,CHA,Vercors,1480,North,NR,20850.667,40,12252.211,,,,20850.67,12252.21,40
Low elevation,3,B,10,B10,F107-45,F107,Vercors,1704,NA,NR,17291.867,40,9503.318,,,,17291.87,9503.32,40
Low elevation,3,B,9,B9,CHA-5,CHA,Vercors,1480,North,NR,30625.467,40,8482.3,,,,30625.47,8482.3,40
Low elevation,3,B,7,B7,LAU-1,LAU,Lautaret,2090,North,I,8298.667,40,6283.185,,,,8298.67,6283.19,40
Low elevation,3,C,16,C16,CHA-9,CHA,Vercors,1480,North,NR,20455.2,40,5654.867,,,,20455.2,5654.87,40
Low elevation,3,C,7,C7,BRU-14,BRU,Vercors,930,South,NR,15587,40,6047.566,,,,15587,6047.57,40
Low elevation,3,D,20,D20,F107-5,F107,Vercors,1704,NA,NR,24010.8,40,7068.583,,,,24010.8,7068.58,40
Low elevation,3,D,11,D11,BRU-20,BRU,Vercors,930,South,NR,13802.4,40,12252.211,,,,13802.4,12252.21,40
Low elevation,3,D,6,D6,CHA-9,CHA,Vercors,1480,North,NR,16288.067,40,8639.38,,,,16288.07,8639.38,40
Low elevation,3,E,18,E18,CHA-5,CHA,Vercors,1480,North,NR,21184.533,40,13194.689,,,,21184.53,13194.69,40
High elevation,1,A,1,A1,VIL-10,VIL,Vercors,1980,South,NR,3737.6,26,,1550.4,1373.75,55,2644,1373.75,40.5
High elevation,1,A,5,A5,GAL-19,GAL,Lautaret,2590,North,R,1849.2,41,775.188,,,,1849.2,775.19,41
High elevation,4,A,11,A11,bordure,bordure,NA,NA,NA,I,133,41,673.872,,,,133,673.87,41
High elevation,1,C,10,C10,F005-32,F005,Vercors,1842,NA,I,3410.4,43,1987.057,5200.2,6711.75,40,4305.3,4349.4,41.5
High elevation,5,D,20,D20,F005-39,F005,Vercors,1842,NA,I,7296.2,45,3944.27,27233.5814,7771.5,40,17264.89,5857.89,42.5
High elevation,4,D,4,D4,LAU-3,LAU,Lautaret,2090,North,R,3155.6,51,4472.843,2236,3768,35,2695.8,4120.42,43
High elevation,1,E,1,E1,LAU-10,LAU,Lautaret,2090,North,R,1212.6,38,2509.347,11720.20851,8576.125,50,6466.4,5542.74,44
High elevation,3,C,17,C17,F029-31,F029,Lautaret,1894,NA,I,823.4,44,720.996,,,,823.4,721,44
High elevation,4,C,2,C2,FGAL-131,FGAL,Lautaret,2600,North,R,314.4,45,2532.124,,,,314.4,2532.12,45
Low elevation,1,B,3,B3,GAL-13,GAL,Lautaret,2590,North,TR,13841.7,45,6283.185,,,,13841.7,6283.19,45
Low elevation,1,C,2,C2,BRU-16,BRU,Vercors,930,South,NR,51518.5,45,18849.556,,,,51518.5,18849.56,45
Low elevation,1,E,11,E11,F005-18,F005,Vercors,1842,NA,NR,20500.4,45,12095.132,,,,20500.4,12095.13,45
Low elevation,2,A,13,A13,GAL-13,GAL,Lautaret,2590,North,TR,8195.4,45,12095.132,,,,8195.4,12095.13,45
Low elevation,2,A,2,A2,GAL-8,GAL,Lautaret,2590,North,TR,7875,45,4398.23,,,,7875,4398.23,45
Low elevation,2,B,13,B13,GAL-10,GAL,Lautaret,2590,North,TR,3921.867,45,6361.725,,,,3921.87,6361.73,45
Low elevation,2,C,20,C20,F029-27,F029,Lautaret,1894,NA,NR,20617.2,45,8207.411,,,,20617.2,8207.41,45
Low elevation,2,C,16,C16,F005-30,F005,Vercors,1842,NA,NR,37381.333,45,15393.804,,,,37381.33,15393.8,45
Low elevation,2,D,14,D14,GAL-2,GAL,Lautaret,2590,North,TR,3969,45,4948.008,,,,3969,4948.01,45
Low elevation,2,D,11,D11,LAU-3,LAU,Lautaret,2090,North,I,23745.6,45,10838.495,,,,23745.6,10838.5,45
Low elevation,2,E,17,E17,GAL-7,GAL,Lautaret,2590,North,TR,8801.067,45,8659.015,,,,8801.07,8659.02,45
Low elevation,2,E,2,E2,BRU-16,BRU,Vercors,930,South,NR,35649.467,45,12723.45,,,,35649.47,12723.45,45
Low elevation,3,A,17,A17,VIL-15,VIL,Vercors,1980,South,NR,33166.2,45,7775.442,,,,33166.2,7775.44,45
Low elevation,3,A,3,A3,VIL-7,VIL,Vercors,1980,South,I,18711.467,45,7068.583,,,,18711.47,7068.58,45
Low elevation,3,C,18,C18,F029-31,F029,Lautaret,1894,NA,NR,11920,45,4948.008,,,,11920,4948.01,45
Low elevation,3,C,1,C1,GAL-19,GAL,Lautaret,2590,North,NA,0,45,5340.708,,,,0,5340.71,45
Low elevation,3,D,17,D17,F107-40,F107,Vercors,1704,NA,NR,19710.6,45,7068.583,,,,19710.6,7068.58,45
Low elevation,3,D,13,D13,BRU-15,BRU,Vercors,930,South,NR,8123.267,45,7068.583,,,,8123.27,7068.58,45
Low elevation,3,E,13,E13,CHA-19,CHA,Vercors,1480,North,NR,21553.133,45,11309.734,,,,21553.13,11309.73,45
High elevation,1,B,10,B10,F005-31,F005,Vercors,1842,NA,R,1443.2,21,2683.706,35262.2,15543,70,18352.7,9113.35,45.5
High elevation,4,B,5,B5,bordure,bordure,NA,NA,NA,R,2006,32,8164.999,21843,15111.25,60,11924.5,11638.13,46
High elevation,4,C,3,C3,FGAL-P,FGAL,Lautaret,2600,North,TR,1485,46,1873.175,,471,,1485,1172.09,46
High elevation,3,E,5,E5,CHA-16,CHA,Vercors,1480,North,NR,194.4,13,186.925,4360.2,5298.75,80,2277.3,2742.84,46.5
High elevation,4,C,6,C6,F005-39,F005,Vercors,1842,NA,R,3950.8,43,4649.557,16902.4,8478,50,10426.6,6563.78,46.5
High elevation,4,A,2,A2,bordure,bordure,NA,NA,NA,R,0,49,2332.633,3121.2,9420,50,1560.6,5876.32,49.5
High elevation,2,D,20,D20,GAL-19,GAL,Lautaret,2590,North,NR,1622.6,50,537.212,,,,1622.6,537.21,50
Low elevation,1,A,5,A5,F107-5,F107,Vercors,1704,NA,NR,69539.733,50,18849.556,,,,69539.73,18849.56,50
Low elevation,1,A,3,A3,VIL-10,VIL,Vercors,1980,South,NR,62417.333,50,34557.519,,,,62417.33,34557.52,50
Low elevation,1,B,18,B18,F005-14,F005,Vercors,1842,NA,NR,14576.8,50,5654.867,,,,14576.8,5654.87,50
Low elevation,1,B,16,B16,PIC-16,PIC,Lautaret,2930,South,TR,14758,50,7068.583,,,,14758,7068.58,50
Low elevation,1,B,14,B14,GAL-8,GAL,Lautaret,2590,North,TR,18187.867,50,12566.371,,,,18187.87,12566.37,50
Low elevation,1,B,11,B11,GAL-7,GAL,Lautaret,2590,North,I,6148.733,50,16964.6,,,,6148.73,16964.6,50
Low elevation,1,B,7,B7,GAL-2,GAL,Lautaret,2590,North,TR,6254.85,50,4398.23,,,,6254.85,4398.23,50
Low elevation,1,C,19,C19,BRU-19,BRU,Vercors,930,South,I,24421.6,50,21362.83,,,,24421.6,21362.83,50
Low elevation,1,C,18,C18,CHA-16,CHA,Vercors,1480,North,NR,20216.667,50,10210.176,,,,20216.67,10210.18,50
Low elevation,1,C,15,C15,FGAL-127,FGAL,Lautaret,2600,North,TR,6355.867,50,9503.318,,,,6355.87,9503.32,50
Low elevation,1,C,14,C14,PIC-13,PIC,Lautaret,2930,South,TR,6732,50,6283.185,,,,6732,6283.19,50
Low elevation,1,C,4,C4,F005-35,F005,Vercors,1842,NA,I,34725.6,50,16336.282,,,,34725.6,16336.28,50
Low elevation,1,D,20,D20,FGAL-128,FGAL,Lautaret,2600,North,TR,11496.533,50,10367.256,,,,11496.53,10367.26,50
Low elevation,1,D,16,D16,bordure,bordure,Vercors,2000,NA,TR,27931,50,8639.38,,,,27931,8639.38,50
Low elevation,1,D,11,D11,F107-3,F107,Vercors,1704,NA,NR,30663.467,50,26703.538,,,,30663.47,26703.54,50
Low elevation,1,D,8,D8,F107-45,F107,Vercors,1704,NA,NR,30784.8,50,12252.211,,,,30784.8,12252.21,50
Low elevation,1,D,6,D6,BRU-14,BRU,Vercors,930,South,NR,30929.267,50,16964.6,,,,30929.27,16964.6,50
Low elevation,1,E,17,E17,GAL-18,GAL,Lautaret,2590,North,TR,10261.333,50,10367.256,,,,10261.33,10367.26,50
Low elevation,1,E,7,E7,bordure,bordure,Vercors,1500,NA,NR,25555.467,50,5654.867,,,,25555.47,5654.87,50
Low elevation,1,E,2,E2,F005-14,F005,Vercors,1842,NA,NR,22386,50,6361.725,,,,22386,6361.73,50
Low elevation,2,A,18,A18,F107-5,F107,Vercors,1704,NA,NR,45756,50,26703.538,,,,45756,26703.54,50
Low elevation,2,A,11,A11,VIL-19,VIL,Vercors,1980,South,NR,34460.8,50,13194.689,,,,34460.8,13194.69,50
Low elevation,2,A,10,A10,LAU-2,LAU,Lautaret,2090,North,I,21744.667,50,5497.787,,,,21744.67,5497.79,50
Low elevation,2,A,9,A9,CHA-5,CHA,Vercors,1480,North,NR,19505.2,50,8246.681,,,,19505.2,8246.68,50
Low elevation,2,A,4,A4,F005-19,F005,Vercors,1842,NA,NR,33163.2,50,7834.347,,,,33163.2,7834.35,50
Low elevation,2,B,14,B14,FGAL-127,FGAL,Lautaret,2600,North,TR,4318,50,7775.442,,,,4318,7775.44,50
Low elevation,2,B,11,B11,VIL-12,VIL,Vercors,1980,South,I,26546,50,6283.185,,,,26546,6283.19,50
Low elevation,2,C,19,C19,CHA-10,CHA,Vercors,1480,North,NR,53143.2,50,15707.963,,,,53143.2,15707.96,50
Low elevation,2,C,5,C5,CHA-12,CHA,Vercors,1480,North,NR,20536,50,8246.681,,,,20536,8246.68,50
Low elevation,2,D,18,D18,CHA-6,CHA,Vercors,1480,North,NR,42525,50,14294.247,,,,42525,14294.25,50
Low elevation,2,D,15,D15,BRU-1,BRU,Vercors,930,South,I,19813.733,50,12723.45,,,,19813.73,12723.45,50
Low elevation,2,D,13,D13,CHA-17,CHA,Vercors,1480,North,NR,31228.4,50,19792.034,,,,31228.4,19792.03,50
Low elevation,2,D,4,D4,BRU-9,BRU,Vercors,930,South,NR,35364.8,50,16336.282,,,,35364.8,16336.28,50
Low elevation,2,E,19,E19,F005-39,F005,Vercors,1842,NA,NR,36220.8,50,15393.804,,,,36220.8,15393.8,50
Low elevation,2,E,18,E18,F005-14,F005,Vercors,1842,NA,NR,28559.867,50,9817.477,,,,28559.87,9817.48,50
Low elevation,2,E,11,E11,BRU-14,BRU,Vercors,930,South,I,18096,50,17651.824,,,,18096,17651.82,50
Low elevation,2,E,10,E10,VIL-7,VIL,Vercors,1980,South,I,32265.6,50,9935.287,,,,32265.6,9935.29,50
Low elevation,2,E,9,E9,F005-30,F005,Vercors,1842,NA,I,20640.533,50,7461.283,,,,20640.53,7461.28,50
Low elevation,2,E,1,E1,VIL-19,VIL,Vercors,1980,South,NR,32064,50,10367.256,,,,32064,10367.26,50
Low elevation,3,A,19,A19,BRU-14,BRU,Vercors,930,South,NR,16529.333,50,10367.256,,,,16529.33,10367.26,50
Low elevation,3,A,15,A15,F005-31,F005,Vercors,1842,NA,NR,28582.4,50,9503.318,,,,28582.4,9503.32,50
Low elevation,3,A,10,A10,F005-18,F005,Vercors,1842,NA,NR,28476,50,5026.548,,,,28476,5026.55,50
Low elevation,3,A,8,A8,FGAL-128,FGAL,Lautaret,2600,North,TR,9301.6,50,13194.689,,,,9301.6,13194.69,50
Low elevation,3,A,7,A7,F005-25,F005,Vercors,1842,NA,TR,8838.533,50,6283.185,,,,8838.53,6283.19,50
Low elevation,3,A,1,A1,GAL-6,GAL,Lautaret,2590,North,TR,8061.8,50,13096.514,,,,8061.8,13096.51,50
Low elevation,3,B,14,B14,VIL-19,VIL,Vercors,1980,South,NR,35151.667,50,15393.804,,,,35151.67,15393.8,50
Low elevation,3,C,17,C17,PIC-16,PIC,Lautaret,2930,South,I,11323.733,50,10367.256,,,,11323.73,10367.26,50
Low elevation,3,C,14,C14,BRU-9,BRU,Vercors,930,South,I,8930.8,50,5654.867,,,,8930.8,5654.87,50
Low elevation,3,C,6,C6,F107-8,F107,Vercors,1704,NA,NR,17175.6,50,11231.194,,,,17175.6,11231.19,50
Low elevation,3,D,14,D14,CHA-6,CHA,Vercors,1480,North,NR,28111.2,50,14294.247,,,,28111.2,14294.25,50
Low elevation,3,D,10,D10,GAL-2,GAL,Lautaret,2590,North,TR,8998.4,50,9424.778,,,,8998.4,9424.78,50
Low elevation,3,E,19,E19,VIL-13,VIL,Vercors,1980,South,NR,39773.067,50,18849.556,,,,39773.07,18849.56,50
Low elevation,3,E,17,E17,F005-25,F005,Vercors,1842,NA,NR,17506.2,50,5654.867,,,,17506.2,5654.87,50
Low elevation,3,E,12,E12,F005-39,F005,Vercors,1842,NA,NR,36750.667,50,14294.247,,,,36750.67,14294.25,50
Low elevation,3,E,11,E11,CHA-12,CHA,Vercors,1480,North,NR,18910.8,50,7775.442,,,,18910.8,7775.44,50
Low elevation,3,E,10,E10,F005-18,F005,Vercors,1842,NA,NR,14679,50,4712.389,,,,14679,4712.39,50
Low elevation,3,E,7,E7,VIL-13,VIL,Vercors,1980,South,NR,22411.2,50,12252.211,,,,22411.2,12252.21,50
High elevation,4,B,12,B12,CHA-15,CHA,Vercors,1480,North,I,3375.6,43,1468.695,2099.5,7418.25,60,2737.55,4443.47,51.5
High elevation,1,B,1,B1,F107-43,F107,Vercors,1704,NA,I,4292.4,29,294.524,17059.92453,6594,75,10676.16,3444.26,52
High elevation,5,B,19,B19,bordure,bordure,NA,NA,NA,I,819,52,346.361,,,,819,346.36,52
High elevation,2,C,17,C17,CHA-6,CHA,Vercors,1480,North,I,1381.8,62,1566.869,453.2,1677.9375,45,917.5,1622.4,53.5
High elevation,3,B,6,B6,CHA-12,CHA,Vercors,1480,North,R,1035.4,37,2657.787,11956.82609,8792,70,6496.11,5724.89,53.5
High elevation,2,E,5,E5,CHA-9,CHA,Vercors,1480,North,NR,2469.6,18,326.726,15738.09231,7771.5,90,9103.85,4049.11,54
High elevation,1,B,2,B2,CHA-5,CHA,Vercors,1480,North,R,5475.6,49,5969.026,9683.2,9891,60,7579.4,7930.01,54.5
High elevation,1,E,5,E5,CHA-16,CHA,Vercors,1480,North,I,4756,34,4297.699,3285.6,7339.75,75,4020.8,5818.72,54.5
High elevation,3,C,20,C20,CHA-6,CHA,Vercors,1480,North,NR,4350.8,44,6636.614,7043.2,7006.125,65,5697,6821.37,54.5
Low elevation,1,D,9,D9,CHA-19,CHA,Vercors,1480,North,NR,33117,55,21362.83,,,,33117,21362.83,55
Low elevation,2,A,17,A17,F107-4,F107,Vercors,1704,NA,I,62394.4,55,13194.689,,,,62394.4,13194.69,55
Low elevation,2,A,15,A15,LAU-3,LAU,Lautaret,2090,North,I,35659.6,55,10995.574,,,,35659.6,10995.57,55
Low elevation,2,A,7,A7,F107-5,F107,Vercors,1704,NA,I,24282,55,6361.725,,,,24282,6361.73,55
Low elevation,2,B,19,B19,CHA-15,CHA,Vercors,1480,North,NR,53359.6,55,17651.824,,,,53359.6,17651.82,55
Low elevation,2,B,2,B2,CHA-17,CHA,Vercors,1480,North,NR,42547.2,55,18692.476,,,,42547.2,18692.48,55
Low elevation,2,C,8,C8,BRU-18,BRU,Vercors,930,South,NR,25568.4,55,12370.021,,,,25568.4,12370.02,55
Low elevation,2,E,8,E8,F005-35,F005,Vercors,1842,NA,NR,15794.133,55,12370.021,,,,15794.13,12370.02,55
Low elevation,3,B,2,B2,GAL-18,GAL,Lautaret,2590,North,TR,5510,55,1963.495,,,,5510,1963.5,55
Low elevation,3,C,20,C20,LAU-8,LAU,Lautaret,2090,North,I,15328.533,55,7068.583,,,,15328.53,7068.58,55
Low elevation,3,D,7,D7,VIL-10,VIL,Vercors,1980,South,NR,27587.2,55,15315.264,,,,27587.2,15315.26,55
Low elevation,3,D,5,D5,GAL-10,GAL,Lautaret,2590,North,TR,8771,55,9032.079,,,,8771,9032.08,55
Low elevation,3,E,2,E2,PIC-18,PIC,Lautaret,2930,South,I,5674.4,55,12252.211,,,,5674.4,12252.21,55
Low elevation,1,E,18,E18,BRU-18,BRU,Vercors,930,South,I,54890.667,55.5,34321.9,,,,54890.67,34321.9,55.5
High elevation,4,B,14,B14,VIL-7,VIL,Vercors,1980,South,I,822.8,57,1503.252,,,,822.8,1503.25,57
High elevation,4,B,1,B1,F005-19,F005,Vercors,1842,NA,R,3405.6,41,2756.748,21688.94,20096,75,12547.27,11426.37,58
Low elevation,1,A,15,A15,F005-31,F005,Vercors,1842,NA,I,25766.4,60,10367.256,,,,25766.4,10367.26,60
Low elevation,1,A,14,A14,CHA-19,CHA,Vercors,1480,North,I,108790.933,60,43196.899,,,,108790.93,43196.9,60
Low elevation,1,A,10,A10,CHA-10,CHA,Vercors,1480,North,NR,19207.2,60,29688.051,,,,19207.2,29688.05,60
Low elevation,1,B,9,B9,GAL-10,GAL,Lautaret,2590,North,TR,12647.467,60,9424.778,,,,12647.47,9424.78,60
Low elevation,1,C,20,C20,CHA-15,CHA,Vercors,1480,North,I,35359.467,60,14686.946,,,,35359.47,14686.95,60
Low elevation,1,C,10,C10,BRU-1,BRU,Vercors,930,South,NR,16660,60,16493.361,,,,16660,16493.36,60
Low elevation,1,C,7,C7,LAU-1,LAU,Lautaret,2090,North,I,43587.2,60,9424.778,,,,43587.2,9424.78,60
Low elevation,1,D,18,D18,GAL-10,GAL,Lautaret,2590,North,TR,8059.333,60,11231.194,,,,8059.33,11231.19,60
Low elevation,1,D,15,D15,CHA-10,CHA,Vercors,1480,North,NR,40666.533,60,18849.556,,,,40666.53,18849.56,60
Low elevation,1,D,14,D14,F107-8,F107,Vercors,1704,NA,NR,48149.6,60,20027.653,,,,48149.6,20027.65,60
Low elevation,1,D,12,D12,BRU-20,BRU,Vercors,930,South,I,22500.8,60,14294.247,,,,22500.8,14294.25,60
Low elevation,1,D,5,D5,GAL-2,GAL,Lautaret,2590,North,TR,5088.35,60,3769.911,,,,5088.35,3769.91,60
Low elevation,1,E,16,E16,F005-35,F005,Vercors,1842,NA,NR,55590.4,60,18849.556,,,,55590.4,18849.56,60
Low elevation,1,E,10,E10,F005-32,F005,Vercors,1842,NA,NR,19650.4,60,13194.689,,,,19650.4,13194.69,60
Low elevation,1,E,5,E5,F005-39,F005,Vercors,1842,NA,NR,30311.6,60,11231.194,,,,30311.6,11231.19,60
Low elevation,1,E,1,E1,BRU-9,BRU,Vercors,930,South,I,27289.6,60,13823.008,,,,27289.6,13823.01,60
Low elevation,2,A,19,A19,BRU-18,BRU,Vercors,930,South,I,44787.6,60,28274.334,,,,44787.6,28274.33,60
Low elevation,2,A,16,A16,CHA-16,CHA,Vercors,1480,North,NR,11445.333,60,7775.442,,,,11445.33,7775.44,60
Low elevation,2,A,14,A14,CHA-12,CHA,Vercors,1480,North,I,33436.267,60,22698.007,,,,33436.27,22698.01,60
Low elevation,2,A,6,A6,BRU-8,BRU,Vercors,930,South,I,31545.6,60,13783.738,,,,31545.6,13783.74,60
Low elevation,2,A,3,A3,F107-3,F107,Vercors,1704,NA,NR,46195.733,60,10367.256,,,,46195.73,10367.26,60
Low elevation,2,B,17,B17,BRU-20,BRU,Vercors,930,South,TR,23137.333,60,19399.335,,,,23137.33,19399.34,60
Low elevation,2,B,5,B5,F005-38,F005,Vercors,1842,NA,I,29514.4,60,8639.38,,,,29514.4,8639.38,60
Low elevation,2,C,14,C14,CHA-5,CHA,Vercors,1480,North,NR,61016,60,18024.888,,,,61016,18024.89,60
Low elevation,2,C,13,C13,CHA-14,CHA,Vercors,1480,North,I,24670.8,60,10210.176,,,,24670.8,10210.18,60
Low elevation,2,C,12,C12,BRU-19,BRU,Vercors,930,South,I,29683.333,60,27646.015,,,,29683.33,27646.02,60
Low elevation,2,C,1,C1,BRU-15,BRU,Vercors,930,South,NR,19994.733,60,16493.361,,,,19994.73,16493.36,60
Low elevation,2,D,16,D16,LAU-8,LAU,Lautaret,2090,North,I,8625.4,60,3573.562,,,,8625.4,3573.56,60
Low elevation,2,D,9,D9,GAL-13,GAL,Lautaret,2590,North,TR,5472,60,8011.061,,,,5472,8011.06,60
Low elevation,2,D,2,D2,FGAL-128,FGAL,Lautaret,2600,North,TR,7035.6,60,5969.026,,,,7035.6,5969.03,60
Low elevation,2,E,20,E20,VIL-15,VIL,Vercors,1980,South,NR,25967.667,60,10367.256,,,,25967.67,10367.26,60
Low elevation,2,E,15,E15,CHA-19,CHA,Vercors,1480,North,NR,21260.8,60,12723.45,,,,21260.8,12723.45,60
Low elevation,3,A,16,A16,GAL-10,GAL,Lautaret,2590,North,TR,6598.24,60,6361.725,,,,6598.24,6361.73,60
Low elevation,3,B,17,B17,bordure,bordure,Vercors,1500,NA,NR,17520,60,4241.15,,,,17520,4241.15,60
Low elevation,3,B,16,B16,VIL-11,VIL,Vercors,1980,South,I,22406.4,60,12252.211,,,,22406.4,12252.21,60
Low elevation,3,B,3,B3,F005-39,F005,Vercors,1842,NA,NR,18768.933,60,7775.442,,,,18768.93,7775.44,60
Low elevation,3,B,1,B1,VIL-15,VIL,Vercors,1980,South,NR,25181.333,60,9424.778,,,,25181.33,9424.78,60
Low elevation,3,C,19,C19,VIL-12,VIL,Vercors,1980,South,NR,47271.333,60,16336.282,,,,47271.33,16336.28,60
Low elevation,3,C,12,C12,CHA-15,CHA,Vercors,1480,North,NR,27083.467,60,11231.194,,,,27083.47,11231.19,60
Low elevation,3,C,8,C8,CHA-12,CHA,Vercors,1480,North,NR,13536.889,60,15904.313,,,,13536.89,15904.31,60
Low elevation,3,C,5,C5,F005-19,F005,Vercors,1842,NA,NR,48109.867,60,21362.83,,,,48109.87,21362.83,60
Low elevation,3,D,4,D4,GAL-8,GAL,Lautaret,2590,North,TR,6076.2,60,15315.264,,,,6076.2,15315.26,60
Low elevation,3,D,3,D3,LAU-11,LAU,Lautaret,2090,North,NR,18809.2,60,6008.296,,,,18809.2,6008.3,60
High elevation,1,D,2,D2,CHA-6,CHA,Vercors,1480,North,NR,7934.087,31,2827.433,11124,12363.75,90,9529.04,7595.59,60.5
High elevation,4,D,3,D3,GAL-10,GAL,Lautaret,2590,North,R,4276.8,46,5273.949,6510,21195,80,5393.4,13234.47,63
High elevation,5,A,14,A14,BRU-18,BRU,Vercors,930,South,R,3552.4,,,5548.8,18133.5,65,4550.6,18133.5,65
