Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
High elevation,3,C,10,C10,VIL-10,VIL,Vercors,1980,South,I,608,15,549.779,2879.8,1373.75,20,1743.9,961.76,17.5
High elevation,3,E,3,E3,BRU-20,BRU,Vercors,930,South,I,589,10,120.166,1268.8,1570,25,928.9,845.08,17.5
High elevation,4,C,4,C4,CHA-14,CHA,Vercors,1480,North,NR,15575.818,10,1366.593,4500,9341.5,25,10037.91,5354.05,17.5
High elevation,5,D,14,D14,F107-5,F107,Vercors,1704,NA,NR,6334.2,25,980.177,23072,5024,10,14703.1,3002.09,17.5
High elevation,5,D,3,D3,F107-8,F107,Vercors,1704,NA,NR,2816,20,888.285,1867.6,1785.875,15,2341.8,1337.08,17.5
High elevation,5,E,7,E7,VIL-19,VIL,Vercors,1980,South,I,1700,25,1068.142,1803.866667,1413,10,1751.93,1240.57,17.5
High elevation,1,D,18,D18,CHA-9,CHA,Vercors,1480,North,NR,2408,26,282.743,321.6,471,10,1364.8,376.87,18
High elevation,1,D,8,D8,F029-31,F029,Lautaret,1894,NA,NA,,18,2001.195,,,,,2001.2,18
High elevation,2,A,3,A3,GAL-20,GAL,Lautaret,2590,North,R,0,18,282.743,,,,0,282.74,18
High elevation,2,E,10,E10,GAL-8,GAL,Lautaret,2590,North,R,0,18,706.858,,,,0,706.86,18
High elevation,3,B,3,B3,GAL-19,GAL,Lautaret,2590,North,I,1691.2,16,537.212,1172.6,1413,20,1431.9,975.11,18
High elevation,3,C,18,C18,GAL-13,GAL,Lautaret,2590,North,R,150,26,1237.002,0,1059.75,10,75,1148.38,18
High elevation,3,E,16,E16,GAL-18,GAL,Lautaret,2590,North,TR,101,18,379.347,,,,101,379.35,18
High elevation,4,D,6,D6,F107-42,F107,Vercors,1704,NA,NR,1958.4,21,1154.535,963.6,1099,15,1461,1126.77,18
High elevation,5,A,19,A19,GAL-8,GAL,Lautaret,2590,North,TR,1152.667,18,1539.38,,,,1152.67,1539.38,18
High elevation,5,A,13,A13,VIL-10,VIL,Vercors,1980,South,R,1801.8,21,1407.434,4333.292308,3238.125,15,3067.55,2322.78,18
High elevation,2,D,16,D16,VIL-15,VIL,Vercors,1980,South,NR,2257.6,22,102.102,230.4,961.625,15,1244,531.86,18.5
High elevation,2,D,10,D10,F107-43,F107,Vercors,1704,NA,R,643.8,12,1290.409,4563.2,2649.375,25,2603.5,1969.89,18.5
High elevation,2,E,12,E12,F107-4,F107,Vercors,1704,NA,I,528,17,1484.403,2238.6,961.625,20,1383.3,1223.01,18.5
High elevation,1,B,20,B20,F107-3,F107,Vercors,1704,NA,I,4113.4,23,2843.927,2217.6,2747.5,15,3165.5,2795.71,19
High elevation,1,D,6,D6,FGAL-J,FGAL,Lautaret,2600,North,TR,670,19,1182.024,,,,670,1182.02,19
High elevation,1,E,13,E13,CHA-19,CHA,Vercors,1480,North,NR,1847.6,19,1052.434,,,,1847.6,1052.43,19
High elevation,2,A,11,A11,bordure,bordure,NA,NA,NA,R,0,18,1526.814,313.6,1511.125,20,156.8,1518.97,19
High elevation,2,C,5,C5,BRU-14,BRU,Vercors,930,South,R,0,19,942.478,,,,0,942.48,19
High elevation,3,A,11,A11,F029-21,F029,Lautaret,1894,NA,TR,219.6,19,501.084,,,,219.6,501.08,19
