SEX,Survival,pop.size,pop.size.prev,Fhat3,MatFhat3,Density
1,1,321,414,-0.00707852,-0.0219129,Low
1,1,321,414,0.024871,-0.0294898,Low
2,1,321,414,-0.0222664,-0.0294898,Low
1,1,321,414,-0.0127953,-0.0294898,Low
2,1,321,414,-0.00394802,0.00265591,Low
2,1,321,414,-0.0390045,-0.0369377,Low
2,1,321,414,0.0129579,-0.0426187,Low
1,1,321,414,-0.0237418,0.00906772,Low
2,0,321,414,0.0238385,-0.0184544,Low
2,1,321,414,0.0249085,-0.0184544,Low
2,1,321,414,0.0157157,0.00447446,Low
2,1,321,414,0.0120812,0.00447446,Low
1,1,321,414,0.0417011,-0.0232324,Low
2,1,321,414,-0.00110397,-0.0336857,Low
2,1,321,414,0.0179264,-0.00605648,Low
2,0,321,414,-0.00392187,-0.0621841,Low
1,1,321,414,0.000165758,0.0232259,Low
2,1,321,414,-0.00814078,0.0373364,Low
1,1,321,414,0.00925801,-0.0437647,Low
1,0,321,414,-0.0166719,-0.0367469,Low
2,1,321,414,0.0173348,-0.0447254,Low
1,1,321,414,-0.0354301,-0.0199272,Low
1,1,321,414,-0.0427335,-0.0237038,Low
1,1,325,591,0.0191145,-0.0149599,Low
1,1,325,591,-0.0325757,-0.00476325,Low
1,1,325,591,-0.0142433,-0.0156891,Low
1,1,325,591,-0.0185378,-0.0213329,Low
1,1,325,591,-0.0422779,-0.00910843,Low
2,1,325,591,0.0122853,-0.0298745,Low
1,1,325,591,0.00298122,-0.00112828,Low
1,1,325,591,-0.0169381,-0.0194843,Low
1,1,325,591,-0.0171053,-0.0679467,Low
1,1,325,591,0.0308941,-0.0205386,Low
1,NA,325,591,-0.0193991,-0.0420903,Low
1,1,325,591,-0.0336857,-0.00298911,Low
1,1,325,591,-0.0144918,-0.00298911,Low
1,1,325,591,-0.0102402,0.0193951,Low
1,1,325,591,0.018656,0.0204674,Low
1,1,325,591,-0.00651364,0.0204674,Low
1,0,325,591,0.00597067,-0.0115608,Low
1,1,325,591,-0.0437647,-0.0115608,Low
1,1,325,591,0.0147903,-0.045707,Low
1,1,325,591,-0.00450171,-0.0196544,Low
1,1,325,591,0.0157588,0.0365382,Low
1,1,325,591,-0.0237038,0.0566218,Low
1,1,325,591,-0.026606,-0.0474636,Low
1,1,325,591,-0.000918347,-0.0300859,Low
1,1,325,591,0.000887011,-0.00115031,Low
1,1,325,591,-0.0367599,0.0444078,Low
1,1,325,591,0.0400535,-0.0166915,Low
1,1,325,591,0.0150026,-0.0166915,Low
1,1,325,591,-0.0199272,0.0305395,Low
2,1,325,591,0.0161721,0.00410781,Low
1,1,325,591,-0.0319793,-0.0143185,Low
1,1,325,591,0.00542396,-0.0143185,Low
1,1,325,591,0.0420091,-0.0143185,Low
1,1,325,591,-0.000163349,-0.0143185,Low
1,1,325,591,0.0021071,0.0121915,Low
1,1,325,591,-0.0516398,0.0121915,Low
1,1,325,591,-0.00987498,0.044664,Low
1,1,325,591,-0.00778307,0.044664,Low
1,1,325,591,0.00748992,-0.00223706,Low
1,1,325,591,0.00679361,-0.00223706,Low
1,1,325,591,-0.0176457,-0.0177367,Low
1,1,325,591,-0.0346728,-0.0203103,Low
1,1,325,591,-0.0248524,-0.0294898,Low
1,1,325,591,0.0301612,-0.0294898,Low
1,1,325,591,0.00428412,-0.0294898,Low
1,1,325,591,-0.0194769,0.00265591,Low
1,NA,325,591,0.0107428,-0.0369377,Low
2,1,325,591,0.00774117,0.0035052,Low
1,1,325,591,-0.0170521,0.00906772,Low
1,1,325,591,-0.00482683,0.00906772,Low
1,1,325,591,0.00804569,0.00906772,Low
1,1,325,591,-0.0175539,0.00906772,Low
1,1,325,591,0.0417011,-0.0232324,Low
1,1,325,591,-0.0277784,-0.0336857,Low
2,1,325,591,-0.00153608,-0.0336857,Low
1,1,325,591,-0.0138914,-0.00605648,Low
1,1,325,591,-0.047189,-0.00605648,Low
2,1,325,591,0.0169919,-0.00605648,Low
2,1,325,591,0.0011481,-0.0621841,Low
1,1,325,591,0.000165758,0.0232259,Low
1,1,325,591,-0.0241541,0.0373364,Low
1,1,325,591,0.00466271,0.0373364,Low
2,1,325,591,0.0273881,-0.0437647,Low
1,1,325,591,-0.00849013,-0.0437647,Low
1,1,325,591,0.00925801,-0.0437647,Low
1,1,325,591,-0.0325686,0.0130153,Low
1,1,325,591,-0.0065419,0.0226486,Low
1,1,325,591,-0.0277001,-0.0169381,Low
2,1,325,591,-0.0168864,-0.0169381,Low
1,1,325,591,-0.018345,-0.0367469,Low
1,1,325,591,0.00427019,-0.0367469,Low
1,1,325,591,-0.0354301,-0.0199272,Low
1,1,325,591,0.0221571,-0.0199272,Low
1,1,325,591,-0.00599403,-0.0199272,Low
1,1,325,591,0.00488724,0.0150971,Low
1,1,325,591,-0.014721,0.0387321,Low
2,1,325,591,-0.00461285,0.0387321,Low
1,1,325,591,-0.0364564,0.0417011,Low
2,1,325,591,0.000749731,-0.0237038,Low
1,1,325,591,0.00281088,-0.0237038,Low
1,1,325,591,0.024546,-0.0237038,Low
1,1,325,591,-0.0221249,-0.0237038,Low
1,1,325,591,-0.0165183,-0.00875739,Low
1,1,325,591,-0.0174209,-0.00875739,Low
1,1,325,591,0.0138762,-0.00875739,Low
1,1,325,591,-0.0116791,-0.0367599,Low
2,0,325,591,-0.0179483,-0.0367599,Low
1,1,325,591,-0.0175016,-0.0367599,Low
1,1,325,591,-0.0168279,-0.0135042,Low
1,1,325,591,-0.00452252,0.00894754,Low
1,1,325,591,-0.00441283,-0.013717,Low
2,1,325,591,-0.0311583,-0.00651364,Low
1,1,325,591,0.00367287,0.0179136,Low
1,1,325,591,0.0229412,0.00679361,Low
1,1,325,591,-0.0424486,0.00679361,Low
1,1,325,591,-0.0346105,-0.018545,Low
1,1,325,591,0.000673285,-0.018545,Low
1,1,325,591,-0.015633,0.0188523,Low
1,1,325,591,0.00911993,-0.00285481,Low
2,1,325,591,-0.0249082,-0.00285481,Low
1,1,325,591,0.0448064,0.00925801,Low
1,1,325,591,-0.0247222,-0.00381165,Low
1,1,325,591,-0.00380645,0.00298122,Low
1,1,325,591,-0.038692,-0.00987498,Low
1,1,325,591,-0.0285054,-0.0324795,Low
1,1,325,591,-0.0111947,0.0464599,Low
1,1,325,591,0.0123255,0.0464599,Low
2,1,325,591,1.48E-05,0.00125462,Low
1,1,325,591,-0.0210904,0.00748992,Low
2,0,325,591,0.00418576,0.0257699,Low
1,1,325,591,-0.0436209,-0.01564,Low
1,1,325,591,0.0417484,0.15687,Low
1,1,325,591,0.00940437,-0.000163349,Low
1,1,325,591,-0.00302333,-0.000163349,Low
2,1,325,591,-0.028643,-0.000163349,Low
1,1,325,591,-0.00603254,-0.000918347,Low
1,1,325,591,-0.00986658,-0.0111592,Low
2,1,325,591,0.0032842,-0.0144918,Low
2,1,325,591,-0.008043,0.0221571,Low
1,1,325,591,-0.0445339,-0.0248225,Low
1,1,325,591,-0.0192456,0.00367287,Low
1,1,325,591,-0.0189787,0.00367287,Low
1,1,325,591,-0.0048876,0.00367287,Low
1,1,325,591,0.00450369,0.00367287,Low
1,1,325,591,-0.00409303,-0.0319793,Low
1,1,325,591,0.00889537,-0.0319793,Low
2,1,325,591,0.0171307,-0.0319793,Low
1,1,325,591,-0.00537301,-0.018345,Low
2,1,325,591,-0.0292882,-0.018345,Low
2,1,325,591,-0.0345821,-0.018345,Low
1,1,325,591,0.000648107,0.00295905,Low
1,1,325,591,0.0229202,-0.0238475,Low
2,1,325,591,-0.0179512,0.00911993,Low
1,1,325,591,-0.0187849,0.00281088,Low
2,1,325,591,-0.0250492,0.00281088,Low
1,1,325,591,0.0245727,0.018656,Low
1,1,325,591,0.0160023,0.0301612,Low
1,1,325,591,-0.000563655,0.0301612,Low
1,0,325,591,-0.0327004,-0.00450171,Low
1,1,325,591,-0.0185132,-0.0325757,Low
2,1,325,591,-0.000967305,-0.0325757,Low
2,0,325,591,0.014072,-0.0325757,Low
2,0,325,591,0.0166245,-0.0171053,Low
2,1,325,591,0.00107441,-0.0171053,Low
1,1,325,591,0.00137348,-0.0102402,Low
1,1,325,591,-0.00606993,-0.0102402,Low
2,1,325,591,0.089798,-0.0130947,Low
2,1,325,591,-0.0392612,-0.0130947,Low
1,1,325,591,-0.0186017,0.0138762,Low
